sentence,sentiment,topic
nói tiếng anh lưu loát .,2,0
giáo viên rất vui tính .,2,0
cô max có tâm .,2,0
"giảng bài thu hút , dí dỏm .",2,0
"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",0,0
thầy dạy nhiệt tình và tâm huyết .,2,0
tính điểm thi đua các nhóm .,2,1
thầy nhiệt tình giảng lại cho học sinh .,2,0
có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,0,0
"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",2,0
giảng viên nhiệt tình trong công tác giảng dạy .,2,0
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",2,0
trong trường macbook thầy số hai thì không có máy nào số một .,2,3
sinh viên không tiếp thu kịp cũng như không hiểu gì .,0,1
thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,2,0
thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,2,0
giảng viên giải thích kỹ và chi tiết .,2,0
"thầy dạy rất chi tiết , lý thuyết đầy đủ .",2,0
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",0,1
cung cấp kiến thức bổ ích .,2,0
bắt đầu buổi học đúng giờ .,2,0
"giảng dạy dễ hiểu , tận tâm !",2,0
"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",2,0
nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,0,0
giảng viên dạy sôi nổi .,2,0
em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,0,2
chưa giỏi chuyên môn cho lắm .,0,0
cách mà cô tiếp cận với sinh viên .,1,0
"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",2,0
"giảng viên tận tâm , gần gũi với học sinh .",2,0
thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,2,0
"phòng học thoáng mát , trang thiết bị đầy đủ .",2,2
thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .,2,0
không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,0,0
giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .,0,1
môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,1,1
giáo trình chưa có hợp lý .,0,1
mong thầy xem xét lại việc nộp bài !,0,0
"cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .",2,0
cung cấp bài tập đa dạng .,2,0
hay gõ micro vào bảng hoặc bàn .,0,0
ổn .,1,3
"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .",0,0
"cô vui tính , học không áp lực .",2,1
cô dạy rất tốt và nhiệt tình .,2,0
phần lớn chỉ là lý thuyết và bài tập .,2,1
thầy nhiệt tình trả lời thắc mắc của sinh viên .,2,0
thiết bị phòng học như quạt máy cần phải đầu tư thêm .,0,2
"cô nhiệt tình , giảng bài hiệu quả .",2,1
"khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .",0,0
không biết được chính xác bao giờ học thật để đi học .,0,1
thầy chỉ giao bài tập trên courses .,0,0
"dạy dễ hiểu , vui tính .",2,0
như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,1,1
"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .",0,0
"ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .",2,0
"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .",2,0
đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,2,0
"thầy dạy chi tiết , giảng giải kỹ .",2,0
nhiệt tình tốt giúp sinh viên năng động .,2,0
giảng viên cho bài tập nhiều đầy đủ .,2,0
up các bài giảng đầy đủ .,2,0
"thầy hiền , giảng bài tương đối dễ hiểu .",2,0
rất thực tế không dài dòng .,2,3
"cô dạy hay , em không có ý kiến .",2,0
nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,2,0
"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .",2,0
"thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .",0,1
"sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .",2,0
tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,2,1
"dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .",2,0
"giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .",2,0
thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .,2,0
"thầy dạy dễ hiểu , tận tâm , nhiệt tình .",2,0
"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .",2,0
giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .,0,0
thời lượng kiến thức trong một buổi học quá dài .,0,1
"slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .",0,1
"nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .",0,0
giảng bài xúc tích .,2,0
"cô dạy rất hay , gần gũi với tụi em .",2,0
nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .,2,0
có up bài cho sinh viên làm thêm bài tập .,2,0
nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .,2,0
em không thích như vậy tí xíu nào .,0,0
"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .",2,0
thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .,0,1
nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,0,1
thầy cho bài tập ít quá .,0,0
không slide .,0,0
"năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .",2,0
cách dạy đổi mới .,2,0
"đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .",0,0
thầy nên giảng chậm hơn va cho slide bài giảng .,0,0
"hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .",0,2
học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,0,3
"giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .",2,0
"nhiều bài tập , sát với chương trình học và thi .",2,1
"máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .",0,2
không thật sự dạy .,0,0
